"","KitID","SampleID","Date","Barcodes","SampleType"
"2081","UBMkid842129714","69-078-06","8/2/16","NA0008949694","Skin"
"2082","UBMkid843104652","69-068-04","7/14/15","NA0008362396","Mouth"
"2083","UBMkid843129814","69-090-1025","9/28/16","NA0008949704","Skin"
"2084","UBMkid844104958","69-037-11","1/22/16","NA0008352968","Mouth"
"2085","UBMkid845127704","69-087-05","9/13/16","NA0008943477","Mouth"
"2086","UBMkid845127883","69-100-03","11/21/16","NA0008948354","Skin"
"2087","UBMkid845128111","70-1002-12","10/20/15","NA0011524492","Skin"
"2088","UBMkid845129141","69-046-08","2/25/16","NA0011470399","Skin"
"2089","UBMkid846104877","69-105-01","7/17/15","NA0008362411","Mouth"
"2090","UBMkid846105043","69-053-6026","3/17/16","NA0008352967","Mouth"
"2091","UBMkid846819267","69-085-09","5/23/18","NA0014723370","Skin"
"2092","UBMkid848128222","69-100-6011","9/21/15","NA0011524483","Skin"
"2093","UBMkid848128640","69-053-3011","1/31/17","NA0008941854","Skin"
"2094","UBMkid849104933","69-037-1036","3/26/15","NA0008352972","Mouth"
"2095","UBMkid849105151","69-040-2014","10/14/14","NA0008352976","Mouth"
"2096","UBMkid849105769","69-046-2012","10/21/14","NA0008362523","Mouth"
